trainer_id,english_name,trainer_class,constructor_or_id_class,ivs_hp_atk_def_spa_spd_spe
57,"Xaden","Janitor","Normal trainer path; ID 50–69",23/23/23/23/23/23
58,"Giles","Janitor","Normal trainer path; ID 50–69",23/23/23/23/23/23
59,"Skip","Worker","Normal trainer path; ID 50–69",23/23/23/23/23/23
60,"JT","Worker","Normal trainer path; ID 50–69",23/23/23/23/23/23
61,"Benjamin","Worker","Normal trainer path; ID 50–69",23/23/23/23/23/23
62,"Henry","Gentleman","Normal trainer path; ID 50–69",23/23/23/23/23/23
63,"Ikram","Gentleman","Normal trainer path; ID 50–69",23/23/23/23/23/23
64,"Jerry","Gentleman","Normal trainer path; ID 50–69",23/23/23/23/23/23
65,"Cheryl","Madame","Normal trainer path; ID 50–69",23/23/23/23/23/23
66,"Christy","Madame","Normal trainer path; ID 50–69",23/23/23/23/23/23
67,"Verna","Madame","Normal trainer path; ID 50–69",23/23/23/23/23/23
68,"Duncan","Collector","Normal trainer path; ID 50–69",23/23/23/23/23/23
69,"Nobunaga","Collector","Normal trainer path; ID 50–69",23/23/23/23/23/23
70,"Arnon","Golfer","Normal trainer path; ID 70–89",27/27/27/27/27/27
71,"Alim","Golfer","Normal trainer path; ID 70–89",27/27/27/27/27/27
72,"Zeno","Golfer","Normal trainer path; ID 70–89",27/27/27/27/27/27
73,"Anisa","Golfer","Normal trainer path; ID 70–89",27/27/27/27/27/27
74,"Calliope","Golfer","Normal trainer path; ID 70–89",27/27/27/27/27/27
75,"Christina","Golfer","Normal trainer path; ID 70–89",27/27/27/27/27/27
76,"Nedry","Pokémon Breeder","Normal trainer path; ID 70–89",27/27/27/27/27/27
77,"Sheridan","Pokémon Breeder","Normal trainer path; ID 70–89",27/27/27/27/27/27
78,"Kiernan","Pokémon Breeder","Normal trainer path; ID 70–89",27/27/27/27/27/27
79,"Dara","Pokémon Breeder","Normal trainer path; ID 70–89",27/27/27/27/27/27
80,"Rada","Pokémon Breeder","Normal trainer path; ID 70–89",27/27/27/27/27/27
81,"Gertrude","Pokémon Breeder","Normal trainer path; ID 70–89",27/27/27/27/27/27
82,"Dyson","Bellhop","Normal trainer path; ID 70–89",27/27/27/27/27/27
83,"Chip","Bellhop","Normal trainer path; ID 70–89",27/27/27/27/27/27
84,"Zero","Bellhop","Normal trainer path; ID 70–89",27/27/27/27/27/27
85,"Julien","Cook","Normal trainer path; ID 70–89",27/27/27/27/27/27
86,"Sly","Cook","Normal trainer path; ID 70–89",27/27/27/27/27/27
87,"Noah","Cook","Normal trainer path; ID 70–89",27/27/27/27/27/27
88,"Brantley","Firefighter","Normal trainer path; ID 70–89",27/27/27/27/27/27
89,"Camber","Firefighter","Normal trainer path; ID 70–89",27/27/27/27/27/27
90,"Rendor","Police Officer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
91,"Lou","Police Officer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
92,"Benji","Police Officer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
93,"Cal","Scientist","Normal trainer path; special ID (90+)",31/31/31/31/31/31
94,"Tivon","Scientist","Normal trainer path; special ID (90+)",31/31/31/31/31/31
95,"Robyn","Scientist","Normal trainer path; special ID (90+)",31/31/31/31/31/31
96,"Chucky","Black Belt","Normal trainer path; special ID (90+)",31/31/31/31/31/31
97,"Iniko","Black Belt","Normal trainer path; special ID (90+)",31/31/31/31/31/31
98,"Arnold","Black Belt","Normal trainer path; special ID (90+)",31/31/31/31/31/31
99,"Carrie","Dancer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
100,"Variel","Dancer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
101,"Atalanta","Dancer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
102,"Harvey","Aether Foundation","Normal trainer path; special ID (90+)",31/31/31/31/31/31
103,"Luke","Aether Foundation","Normal trainer path; special ID (90+)",31/31/31/31/31/31
104,"Granville","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
105,"Raz","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
106,"Heidi","Aether Foundation","Normal trainer path; special ID (90+)",31/31/31/31/31/31
107,"Haley","Aether Foundation","Normal trainer path; special ID (90+)",31/31/31/31/31/31
108,"Lea","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
109,"Sylvia","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
110,"Stein","Scientist","Normal trainer path; special ID (90+)",31/31/31/31/31/31
111,"Cadel","Scientist","Normal trainer path; special ID (90+)",31/31/31/31/31/31
112,"Boris","Black Belt","Normal trainer path; special ID (90+)",31/31/31/31/31/31
113,"Bryson","Black Belt","Normal trainer path; special ID (90+)",31/31/31/31/31/31
114,"Jo","Dancer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
115,"Tasanee","Dancer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
116,"Levi","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
117,"Hashim","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
118,"Munin","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
119,"Poppy","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
120,"Tamah","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
121,"Bette","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
122,"Kikujiro","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
123,"Xenophon","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
124,"Placido","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
125,"Ignacio","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
126,"Aino","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
127,"Xio","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
128,"Priya","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
129,"Candy","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
130,"Napoleon","Youngster","Normal trainer path; special ID (90+)",31/31/31/31/31/31
131,"Brady","Youngster","Normal trainer path; special ID (90+)",31/31/31/31/31/31
132,"Samantha","Lass","Normal trainer path; special ID (90+)",31/31/31/31/31/31
133,"Inez","Lass","Normal trainer path; special ID (90+)",31/31/31/31/31/31
134,"Niara","Preschooler","Normal trainer path; special ID (90+)",31/31/31/31/31/31
135,"Victor","Preschooler","Normal trainer path; special ID (90+)",31/31/31/31/31/31
136,"Reina","Preschooler","Normal trainer path; special ID (90+)",31/31/31/31/31/31
137,"Naya","Preschooler","Normal trainer path; special ID (90+)",31/31/31/31/31/31
138,"Gwenny","Backpacker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
139,"Fernanda","Backpacker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
140,"Vivek","Hiker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
141,"Stellan","Hiker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
142,"Savir","Office Worker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
143,"Harding","Office Worker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
144,"Darrel","Office Worker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
145,"Jana","Office Worker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
146,"Etta","Punk Guy","Normal trainer path; special ID (90+)",31/31/31/31/31/31
147,"Dustin","Punk Guy","Normal trainer path; special ID (90+)",31/31/31/31/31/31
148,"Zed","Punk Girl","Normal trainer path; special ID (90+)",31/31/31/31/31/31
149,"Edda","Punk Girl","Normal trainer path; special ID (90+)",31/31/31/31/31/31
150,"Leena","Youth Athlete","Normal trainer path; special ID (90+)",31/31/31/31/31/31
151,"Buddy","Youth Athlete","Normal trainer path; special ID (90+)",31/31/31/31/31/31
152,"Hilario","Youth Athlete","Normal trainer path; special ID (90+)",31/31/31/31/31/31
153,"Thamina","Youth Athlete","Normal trainer path; special ID (90+)",31/31/31/31/31/31
154,"Dolly","Rising Star","Normal trainer path; special ID (90+)",31/31/31/31/31/31
155,"Erix","Rising Star","Normal trainer path; special ID (90+)",31/31/31/31/31/31
156,"Joaquin","Rising Star","Normal trainer path; special ID (90+)",31/31/31/31/31/31
157,"Marianne","Rising Star","Normal trainer path; special ID (90+)",31/31/31/31/31/31
158,"Alice","Sightseer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
159,"Chen","Sightseer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
160,"Christian","Sightseer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
161,"Ezra","Sightseer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
162,"Sika","Janitor","Normal trainer path; special ID (90+)",31/31/31/31/31/31
163,"Paulo","Janitor","Normal trainer path; special ID (90+)",31/31/31/31/31/31
164,"Dan","Worker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
165,"Omar","Worker","Normal trainer path; special ID (90+)",31/31/31/31/31/31
166,"Mechabob","Gentleman","Normal trainer path; special ID (90+)",31/31/31/31/31/31
167,"Abel","Gentleman","Normal trainer path; special ID (90+)",31/31/31/31/31/31
168,"Donny","Madame","Normal trainer path; special ID (90+)",31/31/31/31/31/31
169,"Gracie","Madame","Normal trainer path; special ID (90+)",31/31/31/31/31/31
170,"Donna","Bellhop","Normal trainer path; special ID (90+)",31/31/31/31/31/31
171,"Gilroy","Bellhop","Normal trainer path; special ID (90+)",31/31/31/31/31/31
172,"Patrick","Golfer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
173,"Moe","Golfer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
174,"Bruce","Golfer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
175,"Susanna","Golfer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
176,"Lori","Pokémon Breeder","Normal trainer path; special ID (90+)",31/31/31/31/31/31
177,"Colby","Pokémon Breeder","Normal trainer path; special ID (90+)",31/31/31/31/31/31
178,"Danby","Pokémon Breeder","Normal trainer path; special ID (90+)",31/31/31/31/31/31
179,"Izel","Pokémon Breeder","Normal trainer path; special ID (90+)",31/31/31/31/31/31
180,"Presta","Firefighter","Normal trainer path; special ID (90+)",31/31/31/31/31/31
181,"Calder","Firefighter","Normal trainer path; special ID (90+)",31/31/31/31/31/31
182,"Larry","Cook","Normal trainer path; special ID (90+)",31/31/31/31/31/31
183,"Tony","Cook","Normal trainer path; special ID (90+)",31/31/31/31/31/31
184,"Sam","Collector","Normal trainer path; special ID (90+)",31/31/31/31/31/31
185,"Dennis","Collector","Normal trainer path; special ID (90+)",31/31/31/31/31/31
186,"Horace","Ace Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
187,"Perri","Pokémon Center Lady","Normal trainer path; special ID (90+)",31/31/31/31/31/31
188,"Dooley","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
189,"Demiathena","Veteran","Normal trainer path; special ID (90+)",31/31/31/31/31/31
190,"Red","Battle Legend","Normal trainer path; special ID (90+)",31/31/31/31/31/31
191,"Blue","Battle Legend","Normal trainer path; special ID (90+)",31/31/31/31/31/31
192,"Grimsley","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
193,"Anabel","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
194,"Wally","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
195,"Colress","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
196,"Cynthia","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
197,"Plumeria","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
198,"Guzma","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
199,"Kiawe","Captain","Normal trainer path; special ID (90+)",31/31/31/31/31/31
200,"Mallow","Captain","Normal trainer path; special ID (90+)",31/31/31/31/31/31
201,"Sina","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
202,"Dexio","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
203,"Red","Battle Legend","Normal trainer path; special ID (90+)",31/31/31/31/31/31
204,"Blue","Battle Legend","Normal trainer path; special ID (90+)",31/31/31/31/31/31
205,"Kukui","Pokémon Trainer","Normal trainer path; special ID (90+)",31/31/31/31/31/31
206,"Lillie","Pokémon Trainer","Scouted-partner constructor; hardcoded 31",31/31/31/31/31/31
207,"Sophocles","Pokémon Trainer","Battle Agency event path; fixed 31",31/31/31/31/31/31
208,"Giovanni","Pokémon Trainer","Battle Agency event path; fixed 31",31/31/31/31/31/31
209,"Grunt","Team Rainbow Rocket","Battle Agency event path; fixed 31",31/31/31/31/31/31
